gerosa_et_al_2015_metabolite_id,bigg.metabolite_id,condition,mean_umol_gDW,std_umol_gDW
pep,pep,Succinate,1.901510771,0.15409477
pyr,pyr,Succinate,8.253342537,5.685504076
fdp,fdp,Succinate,0.667727399,0.053244672
e4p,e4p,Succinate,0.054721575,0.003104172
r5p,r5p,Succinate,0.181758401,0.064818655
ru5p-D,ru5p__D,Succinate,0.519494063,0.052761026
s7p,s7p,Succinate,8.977979926,1.228650998
xu5p-D,xu5p__D,Succinate,0.497520786,0.049742576
cit,cit,Succinate,1.063399894,0.671517683
akg,akg,Succinate,2.150792094,0.167131544
fum,fum,Succinate,10.32815851,1.261462823
icit,icit,Succinate,0.033456012,0.002795915
mal-L,mal__L,Succinate,24.89046919,1.232069049
succ,succ,Succinate,NaN,NaN
cAMP,camp,Succinate,0.013083197,0.001951144
f1p,f1p,Succinate,0.051965941,0.010753483
gal1p,gal1p,Succinate,0.081051988,0.012594783
glyc3p,glyc3p,Succinate,0.752797537,0.169505781
