gene,carbon_source,fitness,overall_disruption
b1263,glyc,-1.8599999999999999,complete
b1263,lac__D,-2.362,complete
b1263,pyr,-2.472,complete
b1263,rib__D,-2.259,complete
b1263,succ,-2.2025,complete
b1263,xyl__D,-4.7915,complete
b1264,ac,-1.4769999999999999,complete
b1264,fru,-2.1305,complete
b1264,glc__D,-2.68575,complete
b1264,glyc,-1.5150000000000001,complete
b1264,lac__D,-1.574,complete
b1264,pyr,-1.3415,complete
b1264,rib__D,-1.3845,complete
b1264,succ,-0.9545,complete
b1264,xyl__D,-2.8635,complete
b1276,ac,-0.38649999999999995,primary_partial
b1276,fru,0.017499999999999998,primary_partial
b1276,glc__D,-0.028249999999999997,primary_partial
b1276,glyc,0.039,primary_partial
b1276,lac__D,-0.0745,primary_partial
b1276,pyr,-0.015000000000000006,primary_partial
b1276,rib__D,0.0695,primary_partial
b1276,succ,0.174,primary_partial
b1276,xyl__D,-0.122,primary_partial
b1281,ac,-4.447,complete
b1281,fru,-4.4765,complete
b1281,glc__D,-3.9735,complete
b1281,glyc,-3.9965,complete
b1281,lac__D,-4.056,complete
b1281,pyr,-4.469,complete
b1281,rib__D,-3.032,complete
b1281,succ,-3.9610000000000003,complete
b1281,xyl__D,-2.6159999999999997,complete
b1302,ac,0.0685,secondary
b1302,fru,0.0775,secondary
b1302,glc__D,0.23325,secondary
b1302,glyc,0.324,secondary
b1302,lac__D,0.1975,secondary
b1302,pyr,0.13199999999999998,secondary
b1302,rib__D,0.233,secondary
b1302,succ,0.5035000000000001,secondary
b1302,xyl__D,-0.027499999999999997,secondary
b1377,ac,-0.1495,primary_partial
b1377,fru,0.07350000000000001,primary_partial
b1377,glc__D,0.03875,primary_partial
b1377,glyc,-0.037500000000000006,primary_partial
b1377,lac__D,-0.061,primary_partial
b1377,pyr,-0.153,primary_partial
b1377,rib__D,0.0655,primary_partial
b1377,succ,0.0155,primary_partial
b1377,xyl__D,-0.0935,primary_partial
b1606,ac,0.646,secondary
b1606,fru,0.095,secondary
b1606,glc__D,0.062,secondary
b1606,glyc,0.0955,secondary
b1606,lac__D,0.021000000000000005,secondary
b1606,pyr,0.030500000000000003,secondary
b1606,rib__D,0.431,secondary
b1606,succ,1.0750000000000002,secondary
b1606,xyl__D,0.386,secondary
b1622,ac,0.367,secondary
b1622,fru,0.189,secondary
b1622,glc__D,0.09125,secondary
b1622,glyc,0.07550000000000001,secondary
b1622,lac__D,0.249,secondary
b1622,pyr,0.1895,secondary
b1622,rib__D,-0.0415,secondary
b1622,succ,0.229,secondary
b1622,xyl__D,0.2435,secondary
b1692,ac,0.1155,secondary
b1692,fru,-0.0225,secondary
b1692,glc__D,-0.060749999999999985,secondary
b1692,glyc,-0.21200000000000002,secondary
b1692,lac__D,-0.020499999999999997,secondary
b1692,pyr,-0.163,secondary
b1692,rib__D,-0.041,secondary
b1692,succ,-0.10200000000000001,secondary
b1692,xyl__D,0.08299999999999999,secondary
b1693,ac,-5.154,complete
b1693,fru,-5.654,complete
b1693,glc__D,-4.80425,complete
b1693,glyc,-4.170999999999999,complete
