,bigg_id,group_descr,reaction
269,GLYCLTt4pp,"Transport, Inner Membrane",glyclt_p + na1_p --> glyclt_c + na1_c
273,HISabcpp,"Transport, Inner Membrane",atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c
275,LYSabcpp,"Transport, Inner Membrane",atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c
276,GALTptspp,"Transport, Inner Membrane",galt_p + pep_c --> galt1p_c + pyr_c
279,GLCptspp,"Transport, Inner Membrane",glc__D_p + pep_c --> g6p_c + pyr_c
281,GLCt2pp,"Transport, Inner Membrane",glc__D_p + h_p --> glc__D_c + h_c
283,ACMUMptspp,"Transport, Inner Membrane",acmum_p + pep_c --> acmum6p_c + pyr_c
285,XANt2pp,"Transport, Inner Membrane",h_p + xan_p --> h_c + xan_c
286,GLYC3Pabcpp,"Transport, Inner Membrane",atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c
289,SPMDabcpp,"Transport, Inner Membrane",atp_c + h2o_c + spmd_p --> adp_c + h_c + pi_c + spmd_c
290,ARBTNabcpp,"Transport, Inner Membrane",arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c
291,ASO3t8pp,"Transport, Inner Membrane",aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c
292,FORt2pp,"Transport, Inner Membrane",for_p + h_p --> for_c + h_c
293,GALabcpp,"Transport, Inner Membrane",atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c
295,GUAt2pp,"Transport, Inner Membrane",gua_p + h_p --> gua_c + h_c
297,H2St1pp,"Transport, Inner Membrane",h2s_c --> h2s_p
298,MANptspp,"Transport, Inner Membrane",man_p + pep_c --> man6p_c + pyr_c
300,CELBpts,"Transport, Inner Membrane",cellb_e + pep_c --> 6pgg_c + pyr_c
301,MALTptspp,"Transport, Inner Membrane",malt_p + pep_c --> malt6p_c + pyr_c
302,FRUpts2pp,"Transport, Inner Membrane",fru_p + pep_c --> f6p_c + pyr_c
303,G6Pt6_2pp,"Transport, Inner Membrane",g6p_p + 2.0 pi_c --> g6p_c + 2.0 pi_p
304,THRt2pp,"Transport, Inner Membrane",h_p + thr__L_c --> h_c + thr__L_p
305,CYSDabcpp,"Transport, Inner Membrane",atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c
306,GLCabcpp,"Transport, Inner Membrane",atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c
307,MNt2pp,"Transport, Inner Membrane",h_p + mn2_p --> h_c + mn2_c
308,HOMt2pp,"Transport, Inner Membrane",h_p + hom__L_c --> h_c + hom__L_p
309,CYStpp,"Transport, Inner Membrane",cys__L_c --> cys__L_p
310,ACSERtpp,"Transport, Inner Membrane",acser_c --> acser_p
311,2AGPE120tipp,"Transport, Inner Membrane",2agpe120_p --> 2agpe120_c
312,G3PGabcpp,"Transport, Inner Membrane",atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c
313,G3PIabcpp,"Transport, Inner Membrane",atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c
314,G3PSabcpp,"Transport, Inner Membrane",atp_c + g3ps_p + h2o_c --> adp_c + g3ps_c + h_c + pi_c
315,2AGPA120tipp,"Transport, Inner Membrane",2ddecg3p_p --> 2ddecg3p_c
316,2AGPG180tipp,"Transport, Inner Membrane",2agpg180_p --> 2agpg180_c
317,URAt2pp,"Transport, Inner Membrane",h_p + ura_p --> h_c + ura_c
318,ALAALAabcpp,"Transport, Inner Membrane",alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c
320,G3PEabcpp,"Transport, Inner Membrane",atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c
321,G3PCabcpp,"Transport, Inner Membrane",atp_c + g3pc_p + h2o_c --> adp_c + g3pc_c + h_c + pi_c
322,PROGLYabcpp,"Transport, Inner Membrane",atp_c + h2o_c + progly_p --> adp_c + h_c + pi_c + progly_c
323,GTHRDabcpp,"Transport, Inner Membrane",atp_c + gthrd_p + h2o_c --> adp_c + gthrd_c + h_c + pi_c
324,2AGPG140tipp,"Transport, Inner Membrane",2agpg140_p --> 2agpg140_c
325,2AGPG160tipp,"Transport, Inner Membrane",2agpg160_p --> 2agpg160_c
326,2AGPG141tipp,"Transport, Inner Membrane",2agpg141_p --> 2agpg141_c
327,2AGPG161tipp,"Transport, Inner Membrane",2agpg161_p --> 2agpg161_c
328,2AGPG181tipp,"Transport, Inner Membrane",2agpg181_p --> 2agpg181_c
329,PG161abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg161_c --> adp_c + h_c + pg161_p + pi_c
330,PGP120abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_p + pi_c
331,PGP161abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_p + pi_c
332,PGP181abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_p + pi_c
333,PA120abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa120_c --> adp_c + h_c + pa120_p + pi_c
334,PA160abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa160_c --> adp_c + h_c + pa160_p + pi_c
335,PA181abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa181_c --> adp_c + h_c + pa181_p + pi_c
336,12DGR141tipp,"Transport, Inner Membrane",12dgr141_p --> 12dgr141_c
337,PG160abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg160_c --> adp_c + h_c + pg160_p + pi_c
338,PGP140abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp140_c --> adp_c + h_c + pgp140_p + pi_c
339,GAMptspp,"Transport, Inner Membrane",gam_p + pep_c --> gam6p_c + pyr_c
340,GSNt2pp,"Transport, Inner Membrane",gsn_p + h_p --> gsn_c + h_c
345,MELIBt3ipp,"Transport, Inner Membrane",h_p + melib_c --> h_c + melib_p
346,K2L4Aabcpp,"Transport, Inner Membrane",atp_c + h2o_c + kdo2lipid4_c --> adp_c + h_c + kdo2lipid4_p + pi_c
348,GAM6Pt6_2pp,"Transport, Inner Membrane",gam6p_p + 2.0 pi_c --> gam6p_c + 2.0 pi_p
349,F6Pt6_2pp,"Transport, Inner Membrane",f6p_p + 2.0 pi_c --> f6p_c + 2.0 pi_p
351,12DGR140tipp,"Transport, Inner Membrane",12dgr140_p --> 12dgr140_c
352,12DGR160tipp,"Transport, Inner Membrane",12dgr160_p --> 12dgr160_c
353,12DGR180tipp,"Transport, Inner Membrane",12dgr180_p --> 12dgr180_c
354,PE141abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe141_c --> adp_c + h_c + pe141_p + pi_c
355,PE160abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe160_c --> adp_c + h_c + pe160_p + pi_c
356,PE161abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe161_c --> adp_c + h_c + pe161_p + pi_c
357,PG140abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg140_c --> adp_c + h_c + pg140_p + pi_c
358,PG141abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg141_c --> adp_c + h_c + pg141_p + pi_c
359,PG180abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg180_c --> adp_c + h_c + pg180_p + pi_c
360,PG181abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg181_c --> adp_c + h_c + pg181_p + pi_c
361,PGP141abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_p + pi_c
362,PGP160abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_p + pi_c
363,PGP180abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pgp180_c --> adp_c + h_c + pgp180_p + pi_c
364,PA140abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa140_c --> adp_c + h_c + pa140_p + pi_c
365,12DGR120tipp,"Transport, Inner Membrane",12dgr120_p --> 12dgr120_c
366,PG120abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pg120_c --> adp_c + h_c + pg120_p + pi_c
367,PE140abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe140_c --> adp_c + h_c + pe140_p + pi_c
368,2AGPE181tipp,"Transport, Inner Membrane",2agpe181_p --> 2agpe181_c
369,2AGPA140tipp,"Transport, Inner Membrane",2tdecg3p_p --> 2tdecg3p_c
370,2AGPA160tipp,"Transport, Inner Membrane",2hdecg3p_p --> 2hdecg3p_c
