,bigg_id,group_descr,reaction
6511,ARGtex_b,"Transport, Outer Membrane Porin",arg__L_e <=> arg__L_p
652,ASCBtex_f,"Transport, Outer Membrane Porin",ascb__L_e <=> ascb__L_p
6521,ASCBtex_b,"Transport, Outer Membrane Porin",ascb__L_e <=> ascb__L_p
653,MMETtex_f,"Transport, Outer Membrane Porin",mmet_e <=> mmet_p
6531,MMETtex_b,"Transport, Outer Membrane Porin",mmet_e <=> mmet_p
654,FE3tex_f,"Transport, Outer Membrane Porin",fe3_e <=> fe3_p
6541,FE3tex_b,"Transport, Outer Membrane Porin",fe3_e <=> fe3_p
655,MG2tex_f,"Transport, Outer Membrane Porin",mg2_e <=> mg2_p
6551,MG2tex_b,"Transport, Outer Membrane Porin",mg2_e <=> mg2_p
656,Zn2tex_f,"Transport, Outer Membrane Porin",zn2_e <=> zn2_p
6561,Zn2tex_b,"Transport, Outer Membrane Porin",zn2_e <=> zn2_p
657,CD2tex_f,"Transport, Outer Membrane Porin",cd2_e <=> cd2_p
6571,CD2tex_b,"Transport, Outer Membrane Porin",cd2_e <=> cd2_p
658,ASO3tex_f,"Transport, Outer Membrane Porin",aso3_e <=> aso3_p
6581,ASO3tex_b,"Transport, Outer Membrane Porin",aso3_e <=> aso3_p
659,MANGLYCtex_f,"Transport, Outer Membrane Porin",manglyc_e <=> manglyc_p
6591,MANGLYCtex_b,"Transport, Outer Membrane Porin",manglyc_e <=> manglyc_p
660,FRUURtex_f,"Transport, Outer Membrane Porin",fruur_e <=> fruur_p
6601,FRUURtex_b,"Transport, Outer Membrane Porin",fruur_e <=> fruur_p
661,GLYCAtex_f,"Transport, Outer Membrane Porin",glyc__R_e <=> glyc__R_p
6611,GLYCAtex_b,"Transport, Outer Membrane Porin",glyc__R_e <=> glyc__R_p
662,COBALT2tex_f,"Transport, Outer Membrane Porin",cobalt2_e <=> cobalt2_p
6621,COBALT2tex_b,"Transport, Outer Membrane Porin",cobalt2_e <=> cobalt2_p
663,DIMPtex_f,"Transport, Outer Membrane Porin",dimp_e <=> dimp_p
6631,DIMPtex_b,"Transport, Outer Membrane Porin",dimp_e <=> dimp_p
664,XTSNtex_f,"Transport, Outer Membrane Porin",xtsn_e <=> xtsn_p
6641,XTSNtex_b,"Transport, Outer Membrane Porin",xtsn_e <=> xtsn_p
665,HG2tex_f,"Transport, Outer Membrane Porin",hg2_e <=> hg2_p
6651,HG2tex_b,"Transport, Outer Membrane Porin",hg2_e <=> hg2_p
666,DHAtex_f,"Transport, Outer Membrane Porin",dha_e <=> dha_p
6661,DHAtex_b,"Transport, Outer Membrane Porin",dha_e <=> dha_p
667,ETOHtex_f,"Transport, Outer Membrane Porin",etoh_e <=> etoh_p
6671,ETOHtex_b,"Transport, Outer Membrane Porin",etoh_e <=> etoh_p
668,ACACtex_f,"Transport, Outer Membrane Porin",acac_e <=> acac_p
6681,ACACtex_b,"Transport, Outer Membrane Porin",acac_e <=> acac_p
669,H2Stex_f,"Transport, Outer Membrane Porin",h2s_e <=> h2s_p
6691,H2Stex_b,"Transport, Outer Membrane Porin",h2s_e <=> h2s_p
670,4PEPTtex_f,"Transport, Outer Membrane Porin",LalaDgluMdapDala_e <=> LalaDgluMdapDala_p
6701,4PEPTtex_b,"Transport, Outer Membrane Porin",LalaDgluMdapDala_e <=> LalaDgluMdapDala_p
671,CU2tex_f,"Transport, Outer Membrane Porin",cu2_e <=> cu2_p
6711,CU2tex_b,"Transport, Outer Membrane Porin",cu2_e <=> cu2_p
672,CLtex_f,"Transport, Outer Membrane Porin",cl_e <=> cl_p
6721,CLtex_b,"Transport, Outer Membrane Porin",cl_e <=> cl_p
673,PROtex_f,"Transport, Outer Membrane Porin",pro__L_e <=> pro__L_p
6731,PROtex_b,"Transport, Outer Membrane Porin",pro__L_e <=> pro__L_p
674,SBTtex_f,"Transport, Outer Membrane Porin",sbt__D_e <=> sbt__D_p
6741,SBTtex_b,"Transport, Outer Membrane Porin",sbt__D_e <=> sbt__D_p
675,AKGtex_f,"Transport, Outer Membrane Porin",akg_e <=> akg_p
6751,AKGtex_b,"Transport, Outer Membrane Porin",akg_e <=> akg_p
676,ALLTNtex_f,"Transport, Outer Membrane Porin",alltn_e <=> alltn_p
6761,ALLTNtex_b,"Transport, Outer Membrane Porin",alltn_e <=> alltn_p
677,ASNtex_f,"Transport, Outer Membrane Porin",asn__L_e <=> asn__L_p
6771,ASNtex_b,"Transport, Outer Membrane Porin",asn__L_e <=> asn__L_p
678,TYMtex_f,"Transport, Outer Membrane Porin",tym_e <=> tym_p
6781,TYMtex_b,"Transport, Outer Membrane Porin",tym_e <=> tym_p
679,CMPtex_f,"Transport, Outer Membrane Porin",cmp_e <=> cmp_p
6791,CMPtex_b,"Transport, Outer Membrane Porin",cmp_e <=> cmp_p
680,DUMPtex_f,"Transport, Outer Membrane Porin",dump_e <=> dump_p
6801,DUMPtex_b,"Transport, Outer Membrane Porin",dump_e <=> dump_p
681,XMPtex_f,"Transport, Outer Membrane Porin",xmp_e <=> xmp_p
6811,XMPtex_b,"Transport, Outer Membrane Porin",xmp_e <=> xmp_p
682,3PEPTtex_f,"Transport, Outer Membrane Porin",LalaDgluMdap_e <=> LalaDgluMdap_p
6821,3PEPTtex_b,"Transport, Outer Membrane Porin",LalaDgluMdap_e <=> LalaDgluMdap_p
683,ANHGMtex_f,"Transport, Outer Membrane Porin",anhgm_e <=> anhgm_p
6831,ANHGMtex_b,"Transport, Outer Membrane Porin",anhgm_e <=> anhgm_p
684,FALDtex_f,"Transport, Outer Membrane Porin",fald_e <=> fald_p
6841,FALDtex_b,"Transport, Outer Membrane Porin",fald_e <=> fald_p
685,CYSDtex_f,"Transport, Outer Membrane Porin",cys__D_e <=> cys__D_p
6851,CYSDtex_b,"Transport, Outer Membrane Porin",cys__D_e <=> cys__D_p
686,G3PItex_f,"Transport, Outer Membrane Porin",g3pi_e <=> g3pi_p
6861,G3PItex_b,"Transport, Outer Membrane Porin",g3pi_e <=> g3pi_p
687,G3PGtex_f,"Transport, Outer Membrane Porin",g3pg_e <=> g3pg_p
6871,G3PGtex_b,"Transport, Outer Membrane Porin",g3pg_e <=> g3pg_p
688,G3PEtex_f,"Transport, Outer Membrane Porin",g3pe_e <=> g3pe_p
6881,G3PEtex_b,"Transport, Outer Membrane Porin",g3pe_e <=> g3pe_p
689,G3PCtex_f,"Transport, Outer Membrane Porin",g3pc_e <=> g3pc_p
6891,G3PCtex_b,"Transport, Outer Membrane Porin",g3pc_e <=> g3pc_p
690,DAMPtex_f,"Transport, Outer Membrane Porin",damp_e <=> damp_p
6901,DAMPtex_b,"Transport, Outer Membrane Porin",damp_e <=> damp_p
691,DCMPtex_f,"Transport, Outer Membrane Porin",dcmp_e <=> dcmp_p
6911,DCMPtex_b,"Transport, Outer Membrane Porin",dcmp_e <=> dcmp_p
692,DGMPtex_f,"Transport, Outer Membrane Porin",dgmp_e <=> dgmp_p
6921,DGMPtex_b,"Transport, Outer Membrane Porin",dgmp_e <=> dgmp_p
693,DTMPtex_f,"Transport, Outer Membrane Porin",dtmp_e <=> dtmp_p
6931,DTMPtex_b,"Transport, Outer Membrane Porin",dtmp_e <=> dtmp_p
694,GMPtex_f,"Transport, Outer Membrane Porin",gmp_e <=> gmp_p
6941,GMPtex_b,"Transport, Outer Membrane Porin",gmp_e <=> gmp_p
695,IMPtex_f,"Transport, Outer Membrane Porin",imp_e <=> imp_p
6951,IMPtex_b,"Transport, Outer Membrane Porin",imp_e <=> imp_p
696,UMPtex_f,"Transport, Outer Membrane Porin",ump_e <=> ump_p
6961,UMPtex_b,"Transport, Outer Membrane Porin",ump_e <=> ump_p
697,G1Ptex_f,"Transport, Outer Membrane Porin",g1p_e <=> g1p_p
6971,G1Ptex_b,"Transport, Outer Membrane Porin",g1p_e <=> g1p_p
698,SKMtex_f,"Transport, Outer Membrane Porin",skm_e <=> skm_p
6981,SKMtex_b,"Transport, Outer Membrane Porin",skm_e <=> skm_p
699,MNtex_f,"Transport, Outer Membrane Porin",mn2_e <=> mn2_p
6991,MNtex_b,"Transport, Outer Membrane Porin",mn2_e <=> mn2_p
700,GAL1Ptex_f,"Transport, Outer Membrane Porin",gal1p_e <=> gal1p_p
7001,GAL1Ptex_b,"Transport, Outer Membrane Porin",gal1p_e <=> gal1p_p
701,O2Stex_f,"Transport, Outer Membrane Porin",o2s_e <=> o2s_p
7011,O2Stex_b,"Transport, Outer Membrane Porin",o2s_e <=> o2s_p
702,HOMtex_f,"Transport, Outer Membrane Porin",hom__L_e <=> hom__L_p
7021,HOMtex_b,"Transport, Outer Membrane Porin",hom__L_e <=> hom__L_p
703,SO2tex_f,"Transport, Outer Membrane Porin",so2_e <=> so2_p
7031,SO2tex_b,"Transport, Outer Membrane Porin",so2_e <=> so2_p
704,ACSERtex_f,"Transport, Outer Membrane Porin",acser_e <=> acser_p
7041,ACSERtex_b,"Transport, Outer Membrane Porin",acser_e <=> acser_p
705,ALAALAtex_f,"Transport, Outer Membrane Porin",alaala_e <=> alaala_p
7051,ALAALAtex_b,"Transport, Outer Membrane Porin",alaala_e <=> alaala_p
706,MALtex_f,"Transport, Outer Membrane Porin",mal__L_e <=> mal__L_p
7061,MALtex_b,"Transport, Outer Membrane Porin",mal__L_e <=> mal__L_p
707,NO3tex_f,"Transport, Outer Membrane Porin",no3_e <=> no3_p
7071,NO3tex_b,"Transport, Outer Membrane Porin",no3_e <=> no3_p
708,GSNtex_f,"Transport, Outer Membrane Porin",gsn_e <=> gsn_p
7081,GSNtex_b,"Transport, Outer Membrane Porin",gsn_e <=> gsn_p
709,FORtex_f,"Transport, Outer Membrane Porin",for_e <=> for_p
7091,FORtex_b,"Transport, Outer Membrane Porin",for_e <=> for_p
710,RIBtex_f,"Transport, Outer Membrane Porin",rib__D_e <=> rib__D_p
7101,RIBtex_b,"Transport, Outer Membrane Porin",rib__D_e <=> rib__D_p
711,THMtex_f,"Transport, Outer Membrane Porin",thm_e <=> thm_p
7111,THMtex_b,"Transport, Outer Membrane Porin",thm_e <=> thm_p
712,XYLUtex_f,"Transport, Outer Membrane Porin",xylu__L_e <=> xylu__L_p
7121,XYLUtex_b,"Transport, Outer Membrane Porin",xylu__L_e <=> xylu__L_p
713,ALLtex_f,"Transport, Outer Membrane Porin",all__D_e <=> all__D_p
7131,ALLtex_b,"Transport, Outer Membrane Porin",all__D_e <=> all__D_p
714,34dhpactex_f,"Transport, Outer Membrane Porin",34dhpac_e <=> 34dhpac_p
7141,34dhpactex_b,"Transport, Outer Membrane Porin",34dhpac_e <=> 34dhpac_p
715,23DAPPAtex_f,"Transport, Outer Membrane Porin",23dappa_e <=> 23dappa_p
7151,23DAPPAtex_b,"Transport, Outer Membrane Porin",23dappa_e <=> 23dappa_p
716,GLCtex_copy2_f,"Transport, Outer Membrane Porin",glc__D_e <=> glc__D_p
7161,GLCtex_copy2_b,"Transport, Outer Membrane Porin",glc__D_e <=> glc__D_p
717,PPALtex_f,"Transport, Outer Membrane Porin",ppal_e <=> ppal_p
7171,PPALtex_b,"Transport, Outer Membrane Porin",ppal_e <=> ppal_p
718,CA2tex_f,"Transport, Outer Membrane Porin",ca2_e <=> ca2_p
7181,CA2tex_b,"Transport, Outer Membrane Porin",ca2_e <=> ca2_p
719,CUtex_f,"Transport, Outer Membrane Porin",cu_e <=> cu_p
7191,CUtex_b,"Transport, Outer Membrane Porin",cu_e <=> cu_p
720,12PPDRtex_f,"Transport, Outer Membrane Porin",12ppd__R_e <=> 12ppd__R_p
7201,12PPDRtex_b,"Transport, Outer Membrane Porin",12ppd__R_e <=> 12ppd__R_p
721,F6Ptex_f,"Transport, Outer Membrane Porin",f6p_e <=> f6p_p
7211,F6Ptex_b,"Transport, Outer Membrane Porin",f6p_e <=> f6p_p
722,GAMAN6Ptex_f,"Transport, Outer Membrane Porin",gam6p_e <=> gam6p_p
7221,GAMAN6Ptex_b,"Transport, Outer Membrane Porin",gam6p_e <=> gam6p_p
723,PROGLYtex_f,"Transport, Outer Membrane Porin",progly_e <=> progly_p
7231,PROGLYtex_b,"Transport, Outer Membrane Porin",progly_e <=> progly_p
724,CGLYtex_f,"Transport, Outer Membrane Porin",cgly_e <=> cgly_p
7241,CGLYtex_b,"Transport, Outer Membrane Porin",cgly_e <=> cgly_p
725,GTHOXtex_f,"Transport, Outer Membrane Porin",gthox_e <=> gthox_p
7251,GTHOXtex_b,"Transport, Outer Membrane Porin",gthox_e <=> gthox_p
726,GTHRDtex_f,"Transport, Outer Membrane Porin",gthrd_e <=> gthrd_p
7261,GTHRDtex_b,"Transport, Outer Membrane Porin",gthrd_e <=> gthrd_p
727,TUNGStex_f,"Transport, Outer Membrane Porin",tungs_e <=> tungs_p
7271,TUNGStex_b,"Transport, Outer Membrane Porin",tungs_e <=> tungs_p
728,GALCTNLtex_f,"Transport, Outer Membrane Porin",galctn__L_e <=> galctn__L_p
7281,GALCTNLtex_b,"Transport, Outer Membrane Porin",galctn__L_e <=> galctn__L_p
729,MALDtex_f,"Transport, Outer Membrane Porin",mal__D_e <=> mal__D_p
7291,MALDtex_b,"Transport, Outer Membrane Porin",mal__D_e <=> mal__D_p
730,OROTtex_f,"Transport, Outer Membrane Porin",orot_e <=> orot_p
7301,OROTtex_b,"Transport, Outer Membrane Porin",orot_e <=> orot_p
731,5DGLCNtex_f,"Transport, Outer Membrane Porin",5dglcn_e <=> 5dglcn_p
7311,5DGLCNtex_b,"Transport, Outer Membrane Porin",5dglcn_e <=> 5dglcn_p
732,PPAtex_f,"Transport, Outer Membrane Porin",ppa_e <=> ppa_p
7321,PPAtex_b,"Transport, Outer Membrane Porin",ppa_e <=> ppa_p
733,PSCLYStex_f,"Transport, Outer Membrane Porin",psclys_e <=> psclys_p
7331,PSCLYStex_b,"Transport, Outer Membrane Porin",psclys_e <=> psclys_p
734,THYMtex_f,"Transport, Outer Membrane Porin",thym_e <=> thym_p
7341,THYMtex_b,"Transport, Outer Membrane Porin",thym_e <=> thym_p
735,MINCYCtex_f,"Transport, Outer Membrane Porin",mincyc_e <=> mincyc_p
7351,MINCYCtex_b,"Transport, Outer Membrane Porin",mincyc_e <=> mincyc_p
736,DOXRBCNtex_f,"Transport, Outer Membrane Porin",doxrbcn_e <=> doxrbcn_p
7361,DOXRBCNtex_b,"Transport, Outer Membrane Porin",doxrbcn_e <=> doxrbcn_p
737,CMtex_f,"Transport, Outer Membrane Porin",cm_e <=> cm_p
7371,CMtex_b,"Transport, Outer Membrane Porin",cm_e <=> cm_p
738,LALALGLUtex_f,"Transport, Outer Membrane Porin",LalaLglu_e <=> LalaLglu_p
7381,LALALGLUtex_b,"Transport, Outer Membrane Porin",LalaLglu_e <=> LalaLglu_p
739,5MTRtex_f,"Transport, Outer Membrane Porin",5mtr_e <=> 5mtr_p
7391,5MTRtex_b,"Transport, Outer Membrane Porin",5mtr_e <=> 5mtr_p
740,LALADGLUtex_f,"Transport, Outer Membrane Porin",LalaDglu_e <=> LalaDglu_p
7401,LALADGLUtex_b,"Transport, Outer Membrane Porin",LalaDglu_e <=> LalaDglu_p
741,3HPPtex_f,"Transport, Outer Membrane Porin",3hpp_e <=> 3hpp_p
7411,3HPPtex_b,"Transport, Outer Membrane Porin",3hpp_e <=> 3hpp_p
742,FUSAtex_f,"Transport, Outer Membrane Porin",fusa_e <=> fusa_p
7421,FUSAtex_b,"Transport, Outer Membrane Porin",fusa_e <=> fusa_p
743,QUIN2tex_f,"Transport, Outer Membrane Porin",quin_e <=> quin_p
7431,QUIN2tex_b,"Transport, Outer Membrane Porin",quin_e <=> quin_p
744,SELtex_f,"Transport, Outer Membrane Porin",sel_e <=> sel_p
7441,SELtex_b,"Transport, Outer Membrane Porin",sel_e <=> sel_p
745,MEOHtex_f,"Transport, Outer Membrane Porin",meoh_e <=> meoh_p
7451,MEOHtex_b,"Transport, Outer Membrane Porin",meoh_e <=> meoh_p
746,TTRCYCtex_f,"Transport, Outer Membrane Porin",ttrcyc_e <=> ttrcyc_p
7461,TTRCYCtex_b,"Transport, Outer Membrane Porin",ttrcyc_e <=> ttrcyc_p
747,SLNTtex_f,"Transport, Outer Membrane Porin",slnt_e <=> slnt_p
7471,SLNTtex_b,"Transport, Outer Membrane Porin",slnt_e <=> slnt_p
748,TARTRDtex_f,"Transport, Outer Membrane Porin",tartr__D_e <=> tartr__D_p
7481,TARTRDtex_b,"Transport, Outer Membrane Porin",tartr__D_e <=> tartr__D_p
749,BTNtex_f,"Transport, Outer Membrane Porin",btn_e <=> btn_p
7491,BTNtex_b,"Transport, Outer Membrane Porin",btn_e <=> btn_p
751,PYDXtex_f,"Transport, Outer Membrane Porin",pydx_e <=> pydx_p
7511,PYDXtex_b,"Transport, Outer Membrane Porin",pydx_e <=> pydx_p
752,PYDXNtex_f,"Transport, Outer Membrane Porin",pydxn_e <=> pydxn_p
7521,PYDXNtex_b,"Transport, Outer Membrane Porin",pydxn_e <=> pydxn_p
753,PYDAMtex_f,"Transport, Outer Membrane Porin",pydam_e <=> pydam_p
7531,PYDAMtex_b,"Transport, Outer Membrane Porin",pydam_e <=> pydam_p
754,CHTBStex_f,"Transport, Outer Membrane Porin",chtbs_e <=> chtbs_p
7541,CHTBStex_b,"Transport, Outer Membrane Porin",chtbs_e <=> chtbs_p
755,CRNDtex_f,"Transport, Outer Membrane Porin",crn__D_e <=> crn__D_p
7551,CRNDtex_b,"Transport, Outer Membrane Porin",crn__D_e <=> crn__D_p
756,DXYLONtex_f,"Transport, Outer Membrane Porin",dxylnt_e <=> dxylnt_p
7561,DXYLONtex_b,"Transport, Outer Membrane Porin",dxylnt_e <=> dxylnt_p
757,PSURItex_f,"Transport, Outer Membrane Porin",psuri_e <=> psuri_p
7571,PSURItex_b,"Transport, Outer Membrane Porin",psuri_e <=> psuri_p
758,URATEtex_f,"Transport, Outer Membrane Porin",urate_e <=> urate_p
7581,URATEtex_b,"Transport, Outer Membrane Porin",urate_e <=> urate_p
759,Ftex_f,"Transport, Outer Membrane Porin",f_p <=> f_e
7591,Ftex_b,"Transport, Outer Membrane Porin",f_p <=> f_e
760,CYSItex_f,"Transport, Outer Membrane Porin",cysi__L_e <=> cysi__L_p
7601,CYSItex_b,"Transport, Outer Membrane Porin",cysi__L_e <=> cysi__L_p
761,GUAtex_f,"Transport, Outer Membrane",gua_e <=> gua_p
7611,GUAtex_b,"Transport, Outer Membrane",gua_e <=> gua_p
762,INStex_f,"Transport, Outer Membrane",ins_e <=> ins_p
7621,INStex_b,"Transport, Outer Membrane",ins_e <=> ins_p
771,DCYTtex_f,"Transport, Outer Membrane",dcyt_e <=> dcyt_p
7711,DCYTtex_b,"Transport, Outer Membrane",dcyt_e <=> dcyt_p
772,DURItex_f,"Transport, Outer Membrane",duri_e <=> duri_p
7721,DURItex_b,"Transport, Outer Membrane",duri_e <=> duri_p
773,URItex_f,"Transport, Outer Membrane",uri_e <=> uri_p
7731,URItex_b,"Transport, Outer Membrane",uri_e <=> uri_p
783,ADNtex_f,"Transport, Outer Membrane",adn_e <=> adn_p
7831,ADNtex_b,"Transport, Outer Membrane",adn_e <=> adn_p
786,DADNtex_f,"Transport, Outer Membrane",dad_2_e <=> dad_2_p
7861,DADNtex_b,"Transport, Outer Membrane",dad_2_e <=> dad_2_p
787,ACNAMtex_f,"Transport, Outer Membrane",acnam_e <=> acnam_p
7871,ACNAMtex_b,"Transport, Outer Membrane",acnam_e <=> acnam_p
794,GLCtex_copy2_f,"Transport, Outer Membrane",glc__D_e <=> glc__D_p
7941,GLCtex_copy2_b,"Transport, Outer Membrane",glc__D_e <=> glc__D_p
798,RFAMPtex_f,"Transport, Outer Membrane",rfamp_e <=> rfamp_p
7981,RFAMPtex_b,"Transport, Outer Membrane",rfamp_e <=> rfamp_p
802,NOVBCNtex_f,"Transport, Outer Membrane",novbcn_e <=> novbcn_p
8021,NOVBCNtex_b,"Transport, Outer Membrane",novbcn_e <=> novbcn_p
805,CH4tex_f,"Transport, Outer Membrane",ch4_e <=> ch4_p
8051,CH4tex_b,"Transport, Outer Membrane",ch4_e <=> ch4_p
806,DHPStex_f,"Transport, Outer Membrane",dhps_e <=> dhps_p
8061,DHPStex_b,"Transport, Outer Membrane",dhps_e <=> dhps_p
807,FMNtex_f,"Transport, Outer Membrane",fmn_p <=> fmn_e
8071,FMNtex_b,"Transport, Outer Membrane",fmn_p <=> fmn_e
808,CLBtex_f,"Transport, Outer Membrane",cellb_e <=> cellb_p
8081,CLBtex_b,"Transport, Outer Membrane",cellb_e <=> cellb_p
809,FADtex_f,"Transport, Outer Membrane",fad_p <=> fad_e
8091,FADtex_b,"Transport, Outer Membrane",fad_p <=> fad_e
810,2DGLCtex_f,"Transport, Outer Membrane",2dglc_e <=> 2dglc_p
8101,2DGLCtex_b,"Transport, Outer Membrane",2dglc_e <=> 2dglc_p
811,SQtex_f,"Transport, Outer Membrane",sq_e <=> sq_p
8111,SQtex_b,"Transport, Outer Membrane",sq_e <=> sq_p
814,CS1tex_f,"Transport, Outer Membrane",cs1_e <=> cs1_p
8141,CS1tex_b,"Transport, Outer Membrane",cs1_e <=> cs1_p
816,MEPNtex_f,"Transport, Outer Membrane",mepn_e <=> mepn_p
8161,MEPNtex_b,"Transport, Outer Membrane",mepn_e <=> mepn_p
817,4ABZGLUtex_f,"Transport, Outer Membrane",4abzglu_e <=> 4abzglu_p
8171,4ABZGLUtex_b,"Transport, Outer Membrane",4abzglu_e <=> 4abzglu_p
818,METGLCURtex_f,"Transport, Outer Membrane",metglcur_e <=> metglcur_p
8181,METGLCURtex_b,"Transport, Outer Membrane",metglcur_e <=> metglcur_p
819,AI2tex_f,"Transport, Outer Membrane",mththf_e <=> mththf_p
8191,AI2tex_b,"Transport, Outer Membrane",mththf_e <=> mththf_p
