"reaction_id","direction","value","par_type","unit","condition","notes"
"2AGPEAT160","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPEAT161","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPEAT180","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPEAT181","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT120","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT140","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT141","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT160","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT161","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT180","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPGAT181","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DDARAA","fwd",3.11668348207257,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DDARAA","bwd",2.68989740573903,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DGULRGx","fwd",2.17843982206931,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DGULRGy","fwd",2.44818228991087,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DGULRx","fwd",2.17843982206931,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DGULRy","fwd",2.44818228991087,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2DOXG6PP","fwd",4.03847150607653,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2HESR","fwd",3.91157270404635,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2HPTCOAT","fwd",6.15379402186329,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2MAHMP","fwd",3.4623652313771,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3AMACHYD","fwd",33.1371736509112,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD100","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD120","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD121","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD140","fwd",2.74511327309038,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD141","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD160","fwd",2.74511327309038,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD161","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD180","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD181","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD40","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD60","fwd",2.74511327309038,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HAD80","fwd",2.40749402726052,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HBZCT","fwd",3.28396240699312,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HCINNMH","fwd",2.67685694183839,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HPADHi","fwd",2.46420636675574,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3HPPPNH","fwd",2.67685694183839,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3KGK","fwd",2.8239878947217,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3NTD2pp","fwd",3.48772190450467,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3NTD4pp","fwd",3.80097966511805,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3NTD7pp","fwd",3.48772190450467,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3NTD9pp","fwd",3.48772190450467,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR100","fwd",8.24329298955517,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR100","bwd",3.96741055037907,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR120","fwd",4.4800608462323,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR120","bwd",3.96741055037907,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR121","fwd",3.76323216049135,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR140","fwd",4.26551759693818,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR140","bwd",3.96741055037907,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR141","fwd",3.76323216049135,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR160","fwd",3.19280138872202,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR160","bwd",3.96741055037907,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR161","fwd",3.76323216049135,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"3OAR180","fwd",2.90388127751107,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
