,id,conc,z_log_c
89,glu5sa_c,0.23439660478984778,-5.202939219767222e-06
90,mlthf_c,2.5492043716177175,1.1913959932838951
91,3dhsk_c,0.2343995577643663,1.086301761293873e-06
92,succoa_c,1.4335398110274693,0.9040273220802395
93,pran_c,0.234398577929983,-1.0005393478174085e-06
94,lac__D_p,0.03393130715915514,-0.19296746223905198
95,tddec2eACP_c,0.23439899016772742,-1.2255861103066534e-07
96,pphn_c,0.2343974714963565,-3.3570206997846075e-06
97,acald_e,0.07520700583339217,-0.11350088291205497
98,coa_c,0.010864941935150061,-1.5333482685182513
99,utp_c,0.23439871467512793,-7.093004323055485e-07
100,co2_e,0.09999999991133537,-8.86646401958291e-09
101,2obut_c,0.2343984182092081,-1.3407118252262151e-06
102,2cpr5p_c,0.23439814623647193,-1.919958479909556e-06
103,nh4_c,0.2344008278602194,3.79132575757668e-06
104,succ_e,0.2343982072514062,-3.580018024098913e-07
105,3ocddec5eACP_c,0.23440229194199758,6.909478796800206e-06
106,etoh_e,0.21770826475339528,-0.0073753931862012845
107,ppi_c,0.23265247471124392,-0.0037337613791431374
108,3odecACP_c,0.23439876647223407,-5.989833390881993e-07
109,akg_c,0.6354805805130042,-0.01536902540995138
110,dcamp_c,0.23439947950356446,9.19623038275752e-07
111,gdp_c,0.33356498398209966,0.0
112,3omrsACP_c,0.2343990195416188,-5.999838525311274e-08
