,id,v,drg0,drg,z_drg,z_drg0,sp_drg
60,DHAD1,0.569106476613892,-37.49369809650577,-37.49376189472125,-0.07551274100830596,-0.4010385992096668,3.9087504191382114e-11
61,IPPMIa,-0.2932737063939513,-3.504337033558363,0.09999997436604868,0.5020493624632991,0.09753159661790224,0.3410789864063132
62,MDH,-3.583143027683565,23.572076506537726,7.246070218026233,-0.005601621918267748,0.02024834761202099,2.1127209005558436e-10
63,FUM,1.0223462362673783,-3.425500792236322,-0.49694051838600795,0.06075983637005007,-0.00346517188915417,3.8295588194804395e-09
64,KARA1,-0.569106476613892,12.79470289145354,18.759579117654415,-0.03228243036199009,-0.23968004886251076,7.994786311892066e-11
65,KARA2,0.1891202084760611,-12.794458859205555,-18.759321295930604,0.03228429943033989,0.23968004886251038,7.994893296995771e-11
66,ACCOAC,1.570964025769487,-11.860243631333324,-14.339116479101168,0.1837074108717065,-0.06274697332594115,1.0525431861530367e-10
67,KAS14,2.0200000001580066e-08,12.033801459650375,-9.952321033781807,-0.04310086476646877,-0.026490169896497637,1.5281587728197498e-10
68,ARGSS,0.19254616477374398,9.64382732884559,-0.10000144267590283,-0.08771042293999741,-0.18025715068773793,0.001445167841016348
69,AGPR,-0.19254616477374398,2.089319650336951,16.227022668898318,-1.5392428503398121,-0.3841729178511924,9.274979274481815e-11
70,ICL,0.001469759944132823,9.066980050984622,-0.10000004996277434,-0.05405368563565713,0.11751603143677405,0.03163849510799618
71,GLYCL,0.03558424871988659,19.854460569901423,-2.3235158031983243,0.9216713921384287,0.17401000192063318,6.824055043473904e-10
72,PPC,9.206480522080884,-43.24386297595224,-38.6070532184627,0.6303796020474346,0.09524381487128963,3.7909850548553695e-11
73,G3PT,3.8212030833169783,-13.167113057677458,-28.014519667992186,0.6158407989718631,-0.006406622899457523,5.2912679684985826e-11
74,SADT2,0.16003115108017377,15.720274997332426,-11.628393874050861,0.4186959153547065,-0.21801121851270044,1.3037202667716397e-10
75,GHMT2r,0.7252280146360959,-9.138161239560166,-0.10000002472409619,0.9272605850996553,0.32692330296655703,0.06467550692808834
76,DHORD2,0.05328253934394791,-127.45681954211933,-122.58821795180363,0.23815405946647408,-0.31351943011879707,1.0681801205968362e-11
77,SDPDS,0.24146970599832163,8.859804404672039,-8.518096007358956,0.07955824127834596,0.17562423442027947,1.7911500478977758e-10
78,UMPK,0.24608495018425583,0.6350167553277326,-3.855298253957944,0.0008031000912825173,0.0020027160340234523,4.034234941936218e-10
79,CTPS2,0.10449394540861569,-26.466819140482915,-41.292227148006596,0.3797446586042463,-0.4336678657596021,3.533110722619971e-11
80,NDPK7,0.017586749248432145,3.128204634379647,-1.362113901148918,-0.09076654169748281,-0.2902407091236616,1.2033612468737536e-09
81,TRPS3,0.03700202048816035,19.16652446023755,-2.526694408953425,-0.01475566669338367,3.753718830185049e-06,6.251152702889481e-10
82,ADK1,13.345630406555152,0.6021355738337762,-3.304893836240507,-0.008197239476988454,-0.01070521680186129,4.729713223450719e-10
83,NDPK2,0.25980570010683984,-0.5815282481897015,-5.071852670066808,0.0008619213676546921,0.0050599771519314884,3.0433592167510746e-10
84,NDPK4,0.017032789755875022,0.692127878886981,-3.7981962355007504,-0.018327039998268825,-0.054338571870450825,4.0967622533277663e-10
85,ACODA,0.19254616477374398,-6.6160420320985445,-27.77173515914325,0.08158357053817403,0.11012387547360705,5.3391090207778824e-11
86,ADSS,0.19462204823054893,-7.5722834425395416,-12.16447547270167,0.3567117258253471,-0.17391786322010144,1.2450909046925087e-10
87,ASNS2,0.07918160459291194,-32.662237740232285,-41.15628479565402,-0.09248235536690799,-0.20344158568980458,3.545362124900505e-11
88,ASPCT,0.21533141050579674,-22.925008765988405,-17.98648628565453,1.0135643591614556,1.0998522427391189e-06,8.347162556021183e-11
89,MCOATA,1.570964025769487,8.690052786333892,-0.1000001988535697,-0.9028046502504689,-0.4055228595605506,0.021725629177335233
90,DAPE,0.24146970599832163,-1.6526077917974031,-1.6526099357991333,-3.1835450180206504e-07,-1.234479714770642e-07,9.77932740940533e-10
91,DHDPRy,0.24146970599832163,-16.72699359070464,-18.02228939267297,0.7774637123973837,0.45420830803346574,8.330292189152543e-11
92,HSK,0.3542580719171169,-36.49271964646974,-40.98302207466554,0.6246217431400917,1.192604553635269,3.561079424251223e-11
93,SDPTA,-0.24146970599832163,-1.9248926209515878,3.4006018617315563,-0.6872244496770485,-0.25655572532773085,4.5921394191729737e-10
94,THRS,0.3542580719171169,-28.602083814636263,-45.47401325547824,0.6154551465789821,0.3876957593062539,3.19217358488902e-11
95,HSST,0.1000420899801807,-25.144810110265137,-37.735042734753335,-0.7309505624231353,0.742989733972867,3.8826217772952646e-11
96,PPNDH,0.12059847871750311,-57.045037807908926,-79.61074171358737,0.2582241036019422,0.41853952806351163,1.7473478793173043e-11
97,DTMPK,0.017032789755875022,-2.3267939569279683,-6.817123577965924,-7.949227803470682e-07,-2.960812559675563e-07,2.2486250460689953e-10
98,NDPK1,0.494960528270477,-1.808227268211286,-2.658824420860804,0.26516974392114245,0.26644090064703796,5.927769449164726e-10
99,TRDR,0.21087235361490675,-3.8464540493014447,-9.811335685546986,0.0013450250737382582,0.009638317749548285,1.5505578785962502e-10
100,DDPA,0.24736406934157046,-73.37724819120935,-64.14382876242992,0.7189942375116353,0.36655687214058524,2.2119755628204136e-11
101,MALS,0.001469759944132823,-41.159599338272706,-46.53183129082899,-1.1585136853587952,-0.08815119594490192,3.115646240128034e-11
102,NADTRHD,7.819251921693377,-0.30116558959564643,-17.504985128658717,-0.06241836397271677,0.03530869446033993,0.0
103,G3PD2,-0.09357697802232544,20.025521397366234,32.4611777512404,-0.00785511364014424,-0.013811694836211282,4.542001272623428e-11
104,P5CR,0.14389602306370683,-14.072835762097927,-20.037687209474317,-0.4857457030718132,-0.7625911306156081,7.472140010027719e-11
105,G5SADs,0.14389602306370683,-38.31723251303566,-38.31723435619646,0.1375768214619395,0.24361735914306004,3.820976892329518e-11
106,AKGDH,0.3438929487573571,-28.7631159594894,-30.995153151251046,1.197277999746506,0.03608245470827936,4.765226080617531e-11
107,ATPPRT,0.06166981716319223,-39.293811792683584,-46.24691309807059,-0.07343135989328729,-0.14499107597617777,3.135912240815893e-11
