	bigg_reaction_id	biocyc_reaction_id
273	3OAS140	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
274	3OAR140	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
275	EAR160y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
276	3OAR160	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
277	3HAD181	ECOLI:RXN-9557
278	EAR100y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
279	3OAR141	ECOLI:RXN-10655
280	3OAR161	ECOLI:RXN-10659
281	3HAD141	ECOLI:RXN-10656
282	EAR121x	ECOLI:RXN0-2145
283	ACONTa	ECOLI:ACONITATEDEHYDR-RXN
284	3HAD40	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
285	3OAS60	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
286	3OAS160	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
287	3OAR60	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
288	3OAR80	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
289	EAR100x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
290	EAR120x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
291	EAR160x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
292	EAR140y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
293	3OAS121	ECOLI:RXN0-2141
294	3OAS80	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
295	3OAS100	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
296	3OAS120	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
297	3OAR40	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
298	3OAR100	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
299	3HAD60	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
300	3HAD100	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
301	3HAD140	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
302	3HAD160	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
303	EAR40x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
304	EAR60y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
305	EAR60x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
306	EAR80x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
307	3OAR180	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
308	3OAS180	ECOLI:3-OXOACYL-ACP-SYNTH-RXN
309	3HAD180	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
310	NADH16pp	ECOLI:NADH-DEHYDROG-A-RXN
311	NADH17pp	ECOLI:RXN0-5388
312	ETOHtrpp	ECOLI:TRANS-RXN0-546
313	VPAMTr	ECOLI:VALINE-PYRUVATE-AMINOTRANSFER-RXN
314	PIt2rpp	ECOLI:TRANS-RXN-114
315	PItpp	ECOLI:TRANS-RXN0-470
316	SUCCt1pp	ECOLI:TRANS-RXN-121
