,bigg.metabolite,biocyc_id
61,mal__L,META:MAL
62,g3p,META:GAP
63,etoh,META:ETOH
64,so3,"['META:H2SO3', 'META:HSO3', 'META:SO3']"
65,met__L,META:MET
66,aicar,META:AICAR
67,5aizc,META:PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE
68,ac,META:ACET
69,glx,META:GLYOX
70,etoh,META:ETOH
71,glcn,META:GLUCONATE
72,air,5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE
73,6pgc,META:CPD-2961
74,nh4,"['META:AMMONIUM', 'META:AMMONIA']"
75,tdec2eACP,NA
76,hdeACP,NA
77,pi,"['META:Pi', 'META:CPD-16459', 'META:PHOSPHATE-GROUP']"
78,argsuc,META:L-ARGININO-SUCCINATE
79,nh4,"['META:AMMONIUM', 'META:AMMONIA']"
80,chor,META:CHORISMATE
81,hom__L,META:HOMO-SER
82,dgdp,META:DGDP
83,q8h2,META:CPD-9956
84,3odecACP,META:3-oxo-decanoyl-ACPs
85,tyr__L,META:TYR
86,cys__L,META:CYS
87,xylu__D,META:D-XYLULOSE
88,h2s,"['META:CPD-846', 'META:CPD-7046', 'META:HS']"
89,e4p,META:ERYTHROSE-4P
90,trp__L,META:TRP
91,acser,META:ACETYLSERINE
92,lys__L,META:LYS
93,dudp,META:DUDP
94,atp,META:ATP
95,indole,META:INDOLE
96,eig3p,META:D-ERYTHRO-IMIDAZOLE-GLYCEROL-P
97,26dap__M,META:MESO-DIAMINOPIMELATE
98,thf,META:THF
99,orot5p,META:OROTIDINE-5-PHOSPHATE
100,h,META:PROTON
101,gln__L,META:GLN
102,glyc,META:GLYCEROL
103,5caiz,META:CPD0-181
104,mal__L,META:MAL
105,3hcpalm9eACP,NA
106,3ocpalm9eACP,NA
107,butACP,NA
108,dttp,META:TTP
109,lac__D,META:D-LACTATE
110,trdox,META:Ox-Thioredoxin
111,3ig3p,META:INDOLE-3-GLYCEROL-P
112,sl26da,META:N-SUCCINYLLL-2-6-DIAMINOPIMELATE
113,3hoctACP,META:3-Hydroxy-octanoyl-ACPs
114,dctp,META:DCTP
115,toctd2eACP,META:Octadec-2-enoyl-ACPs
116,grxrd,NA
117,ru5p__D,META:RIBULOSE-5P
118,23dhmb,META:CPD-13357
119,pran,META:N-5-PHOSPHORIBOSYL-ANTHRANILATE
120,glcn,META:GLUCONATE
121,paps,META:PAPS
122,utp,META:UTP
123,dhor__S,META:DI-H-OROTATE
124,glyc,META:GLYCEROL
125,4mop,META:2K-4CH3-PENTANOATE
126,fdp,FRUCTOSE-16-DIPHOSPHATE
127,dtmp,META:TMP
128,gdp,META:GDP
129,o2,META:OXYGEN-MOLECULE
130,datp,META:DATP
131,ppi,"['META:PYROPHOSPHATE-GROUP', 'META:PPI']"
132,nadp,META:NADP
133,glu__L,"['META:Glutamates', 'META:GLT']"
134,fum,META:FUM
135,akg,META:2-KETOGLUTARATE
136,acorn,META:N-ALPHA-ACETYLORNITHINE
137,glu5sa,META:L-GLUTAMATE_GAMMA-SEMIALDEHYDE
138,ile__L,META:ILE
139,ocACP,NA
140,3dhq,META:DEHYDROQUINATE
141,hisp,META:L-HISTIDINOL-P
142,so4,"['META:SULFATE', 'META:HSO4']"
143,glu__L,"['META:Glutamates', 'META:GLT']"
144,cbp,META:CARBAMOYL-P
145,3mob,META:2-KETO-ISOVALERATE
146,suchms,META:O-SUCCINYL-L-HOMOSERINE
147,tpalm2eACP,META:2-Hexadecenoyl-ACPs
148,3hpalmACP,R-3-Hydroxypalmitoyl-ACPs
149,gln__L,META:GLN
150,3c3hmp,META:3-CARBOXY-3-HYDROXY-ISOCAPROATE
151,anth,META:ANTHRANILATE
152,pap,META:3-5-ADP
153,xmp,META:XANTHOSINE-5-PHOSPHATE
