reaction_id,equation
SO4tex,so4_e <=> so4_p
SUCCtex,succ_e <=> succ_p
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c
RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c
RNDR2b,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c
MALt2_2pp,2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c
NH4tpp,nh4_p <=> nh4_c
NH4tex,nh4_e <=> nh4_p
RIBabcpp,atp_c + h2o_c + rib__D_p --> adp_c + h_c + pi_c + rib__D_c
GLYCAt2rpp,glyc__R_p + h_p <=> glyc__R_c + h_c
GLYCAtex,glyc__R_e <=> glyc__R_p
GLYCtpp,glyc_c <=> glyc_p
H2Otpp,h2o_p <=> h2o_c
GLNabcpp,atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c
CO2tex,co2_e <=> co2_p
GLUt2rpp,glu__L_p + h_p <=> glu__L_c + h_c
ACGK,acglu_c + atp_c --> acg5p_c + adp_c
GNK,atp_c + glcn_c --> 6pgc_c + adp_c + h_c
GLUDy,glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
GLCNt2rpp,glcn_p + h_p <=> glcn_c + h_c
GLCptspp,glc__D_p + pep_c --> g6p_c + pyr_c
EX_h2o_e,h2o_e <=> 
HSTPT,glu__L_c + imacp_c --> akg_c + hisp_c
THDPS,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c
ATPM,atp_c + h2o_c --> adp_c + h_c + pi_c
THRD_L,thr__L_c --> 2obut_c + nh4_c
ETOHtex,etoh_e <=> etoh_p
RNDR2,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c
DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c
PRAIi,pran_c --> 2cpr5p_c
EX_mal__L_e,mal__L_e --> 
TYRTA,akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
SHKK,atp_c + skm_c --> adp_c + h_c + skm5p_c
EX_so4_e,so4_e <=> 
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c
OMCDC,3c4mop_c + h_c --> 4mop_c + co2_c
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c
MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
EX_nh4_e,nh4_e <=> 
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c
NTP5,ctp_c + h2o_c --> cdp_c + h_c + pi_c
FORt2pp,for_p + h_p --> for_c + h_c
EX_etoh_e,etoh_e --> 
